time	V(in)	V(out)	abs(V(out)/V(in))
1.122985853421365e-002	6.425080e-002	-6.543049e-001	1.018361e+001
1.124513709872747e-002	6.471732e-002	-6.591271e-001	1.018471e+001
1.126319207431524e-002	6.443349e-002	-6.563199e-001	1.018601e+001
1.128647141098408e-002	6.268481e-002	-6.386157e-001	1.018773e+001
1.132418703949012e-002	5.674517e-002	-5.782805e-001	1.019083e+001
1.138413037469345e-002	4.111223e-002	-4.192633e-001	1.019802e+001
1.147377902178687e-002	9.853174e-003	-1.010433e-001	1.025490e+001
1.157406767066736e-002	-2.777767e-002	2.822811e-001	1.016216e+001
1.163253453888379e-002	-4.705651e-002	4.787822e-001	1.017462e+001
1.166945938349060e-002	-5.626381e-002	5.726933e-001	1.017872e+001
1.169516289532728e-002	-6.081889e-002	6.191946e-001	1.018096e+001
1.171396935313087e-002	-6.308143e-002	6.423220e-001	1.018243e+001
1.172985853421365e-002	-6.425080e-002	6.543049e-001	1.018361e+001
1.174513709872747e-002	-6.471732e-002	6.591271e-001	1.018471e+001
1.176319207431524e-002	-6.443349e-002	6.563199e-001	1.018601e+001
1.178647141098408e-002	-6.268481e-002	6.386157e-001	1.018773e+001
1.182418703949011e-002	-5.674517e-002	5.782805e-001	1.019083e+001
1.188413037469343e-002	-4.111223e-002	4.192633e-001	1.019802e+001
1.197377902178685e-002	-9.853174e-003	1.010433e-001	1.025490e+001
1.207406767066734e-002	2.777767e-002	-2.822811e-001	1.016216e+001
1.213253453888378e-002	4.705651e-002	-4.787822e-001	1.017462e+001
1.216945938349059e-002	5.626381e-002	-5.726933e-001	1.017872e+001
1.219516289532727e-002	6.081889e-002	-6.191946e-001	1.018096e+001
1.221396935313087e-002	6.308143e-002	-6.423220e-001	1.018243e+001
1.222985853421364e-002	6.425080e-002	-6.543049e-001	1.018361e+001
1.224513709872747e-002	6.471732e-002	-6.591271e-001	1.018471e+001
1.226319207431524e-002	6.443349e-002	-6.563199e-001	1.018601e+001
1.228647141098408e-002	6.268481e-002	-6.386157e-001	1.018773e+001
1.232418703949011e-002	5.674517e-002	-5.782805e-001	1.019083e+001
1.238413037469344e-002	4.111223e-002	-4.192633e-001	1.019802e+001
1.247377902178686e-002	9.853174e-003	-1.010433e-001	1.025490e+001
1.257406767066735e-002	-2.777767e-002	2.822811e-001	1.016216e+001
1.263253453888378e-002	-4.705651e-002	4.787822e-001	1.017462e+001
1.266945938349059e-002	-5.626381e-002	5.726933e-001	1.017872e+001
1.269516289532728e-002	-6.081889e-002	6.191946e-001	1.018096e+001
1.271396935313087e-002	-6.308143e-002	6.423220e-001	1.018243e+001
1.272985853421364e-002	-6.425080e-002	6.543049e-001	1.018361e+001
1.274513709872747e-002	-6.471732e-002	6.591271e-001	1.018471e+001
1.276319207431524e-002	-6.443349e-002	6.563199e-001	1.018601e+001
1.278647141098408e-002	-6.268481e-002	6.386157e-001	1.018773e+001
1.282418703949012e-002	-5.674517e-002	5.782805e-001	1.019083e+001
1.288413037469345e-002	-4.111223e-002	4.192633e-001	1.019802e+001
1.297377902178687e-002	-9.853174e-003	1.010433e-001	1.025490e+001
