time	Vsh	Vpre
1.128978571428640e-003	1.731694e-003	2.720183e-001
1.131850000000071e-003	1.596698e-003	2.672338e-001
1.135992857142930e-003	1.430713e-003	2.604836e-001
1.140135714285790e-003	1.284772e-003	2.538940e-001
1.144278571428649e-003	1.158876e-003	2.474649e-001
1.148421428571509e-003	1.053024e-003	2.411963e-001
1.152564285714368e-003	9.672167e-004	2.350883e-001
1.156707142857228e-003	9.014536e-004	2.291408e-001
1.160850000000087e-003	8.557349e-004	2.233538e-001
1.166585714799855e-003	7.970879e-004	2.155915e-001
1.172321429599622e-003	7.446341e-004	2.080778e-001
1.178057144399390e-003	6.983736e-004	2.008127e-001
1.183792859199157e-003	6.583064e-004	1.937963e-001
1.189528573998925e-003	6.244324e-004	1.870285e-001
1.195264288798692e-003	5.967517e-004	1.805094e-001
1.201000003598460e-003	5.752642e-004	1.742388e-001
1.201016850044476e-003	5.750953e-004	1.742248e-001
1.201033696490492e-003	5.750949e-004	1.742585e-001
1.201050542936508e-003	5.752628e-004	1.743398e-001
1.201067389382524e-003	5.755991e-004	1.744689e-001
1.201084235828540e-003	5.761038e-004	1.746457e-001
1.201101082274555e-003	5.767769e-004	1.748701e-001
1.201117928720571e-003	5.776184e-004	1.751423e-001
1.201217928720572e-003	5.902940e-004	1.775020e-001
1.201317928720572e-003	6.185891e-004	1.811574e-001
1.201400000000000e-003	6.623653e-004	1.853480e-001
1.201500000000000e-003	7.382380e-004	1.915248e-001
1.201570000000000e-003	8.249503e-004	1.967328e-001
1.201650000000000e-003	9.524954e-004	2.027181e-001
1.201750000000000e-003	1.148263e-003	2.101980e-001
1.201850000000000e-003	1.386746e-003	2.176733e-001
1.201950000000000e-003	1.669637e-003	2.251441e-001
1.202050000000000e-003	1.996340e-003	2.326102e-001
1.202150000000000e-003	2.366264e-003	2.400717e-001
1.202250000000000e-003	2.778828e-003	2.475286e-001
1.202350000000001e-003	3.233452e-003	2.549809e-001
1.202450000000001e-003	3.729565e-003	2.624285e-001
1.202650000000001e-003	4.843996e-003	2.773101e-001
1.202850000000001e-003	6.117659e-003	2.921732e-001
1.203050000000001e-003	7.546179e-003	3.070180e-001
1.203250000000001e-003	9.125269e-003	3.218444e-001
1.203450000000001e-003	1.085073e-002	3.366525e-001
1.203750000000001e-003	1.370438e-002	3.588303e-001
1.204050000000001e-003	1.686458e-002	3.809670e-001
1.204350000000002e-003	2.031819e-002	4.030626e-001
1.204657142857144e-003	2.417621e-002	4.256415e-001
1.204964285714287e-003	2.828369e-002	4.481779e-001
1.205271428571430e-003	3.264064e-002	4.706718e-001
1.205578571428572e-003	3.724706e-002	4.931231e-001
1.205885714285715e-003	4.210295e-002	5.155319e-001
1.206192857142857e-003	4.720831e-002	5.378981e-001
1.206500000000000e-003	5.256313e-002	5.602219e-001
1.206569999999996e-003	5.380836e-002	5.649378e-001
1.206749999999992e-003	5.703731e-002	5.737910e-001
1.206900000000000e-003	5.973125e-002	5.778045e-001
1.207000000000000e-003	6.151545e-002	5.786402e-001
1.207030000000000e-003	6.204565e-002	5.785577e-001
1.207504285714286e-003	7.006816e-002	5.768672e-001
1.207978571428572e-003	7.759729e-002	5.751807e-001
1.208452857142858e-003	8.463303e-002	5.734982e-001
1.208927142857144e-003	9.117540e-002	5.718196e-001
1.209401428571430e-003	9.722439e-002	5.701450e-001
1.209875714285716e-003	1.027800e-001	5.684744e-001
1.210350000000002e-003	1.078422e-001	5.668077e-001
1.210450000000002e-003	1.088686e-001	5.664573e-001
1.211192857142860e-003	1.157743e-001	5.638607e-001
1.211935714285717e-003	1.219224e-001	5.612760e-001
1.212678571428575e-003	1.273130e-001	5.587029e-001
1.213421428571432e-003	1.319461e-001	5.561417e-001
1.214164285714290e-003	1.358217e-001	5.535922e-001
1.214907142857147e-003	1.389397e-001	5.510545e-001
1.215650000000005e-003	1.413003e-001	5.485286e-001
1.216278571428577e-003	1.429284e-001	5.464002e-001
1.216907142857149e-003	1.442507e-001	5.442801e-001
1.217535714285720e-003	1.452671e-001	5.421681e-001
1.218164285714292e-003	1.459776e-001	5.400644e-001
1.218792857142864e-003	1.463823e-001	5.379688e-001
1.219421428571436e-003	1.464810e-001	5.358813e-001
1.220050000000008e-003	1.462739e-001	5.338021e-001
1.220850000000008e-003	1.456791e-001	5.311675e-001
1.221650000000008e-003	1.448340e-001	5.285458e-001
1.222450000000009e-003	1.437385e-001	5.259369e-001
1.223250000000009e-003	1.423928e-001	5.233408e-001
1.224050000000010e-003	1.407967e-001	5.207576e-001
1.224850000000010e-003	1.389502e-001	5.181872e-001
1.225650000000011e-003	1.368535e-001	5.156297e-001
1.226778571428583e-003	1.336294e-001	5.120434e-001
1.227907142857155e-003	1.302669e-001	5.084816e-001
1.229035714285727e-003	1.267661e-001	5.049444e-001
1.230164285714299e-003	1.231269e-001	5.014317e-001
1.231292857142871e-003	1.193492e-001	4.979435e-001
1.232421428571443e-003	1.154332e-001	4.944798e-001
1.233550000000015e-003	1.113788e-001	4.910406e-001
1.234935714285730e-003	1.064286e-001	4.868508e-001
1.236321428571445e-003	1.015617e-001	4.826960e-001
1.237707142857160e-003	9.677810e-002	4.785761e-001
1.239092857142875e-003	9.207790e-002	4.744913e-001
1.240478571428590e-003	8.746106e-002	4.704415e-001
1.241864285714306e-003	8.292758e-002	4.664267e-001
1.243250000000021e-003	7.847746e-002	4.624469e-001
1.244692857142879e-003	7.404745e-002	4.583392e-001
1.246135714285737e-003	6.979253e-002	4.542671e-001
1.247578571428594e-003	6.571271e-002	4.502307e-001
1.249021428571453e-003	6.180799e-002	4.462300e-001
1.250464285714311e-003	5.807837e-002	4.422650e-001
1.251907142857168e-003	5.452384e-002	4.383357e-001
1.253350000000026e-003	5.114441e-002	4.344421e-001
1.254892857142884e-003	4.774147e-002	4.303170e-001
1.256435714285742e-003	4.451646e-002	4.262302e-001
1.257978571428600e-003	4.146938e-002	4.221816e-001
1.259521428571459e-003	3.860023e-002	4.181713e-001
1.261064285714317e-003	3.590902e-002	4.141993e-001
1.262607142857174e-003	3.339574e-002	4.102655e-001
1.264150000000032e-003	3.106039e-002	4.063700e-001
1.265907142857176e-003	2.859345e-002	4.019788e-001
1.267664285714320e-003	2.628618e-002	3.976337e-001
1.269421428571464e-003	2.413859e-002	3.933349e-001
1.271178571428608e-003	2.215068e-002	3.890822e-001
1.272935714285752e-003	2.032244e-002	3.848758e-001
1.274692857142896e-003	1.865388e-002	3.807156e-001
1.276450000000039e-003	1.714499e-002	3.766016e-001
1.278564285714326e-003	1.549458e-002	3.717109e-001
1.280678571428613e-003	1.397528e-002	3.668817e-001
1.282792857142900e-003	1.258709e-002	3.621141e-001
1.284907142857187e-003	1.133000e-002	3.574079e-001
1.287021428571474e-003	1.020402e-002	3.527633e-001
1.289135714285761e-003	9.209143e-003	3.481803e-001
1.291250000000048e-003	8.345375e-003	3.436587e-001
1.293507142857192e-003	7.513143e-003	3.388967e-001
1.295764285714336e-003	6.752667e-003	3.341984e-001
1.298021428571480e-003	6.063947e-003	3.295639e-001
1.300278571428624e-003	5.446982e-003	3.249932e-001
1.302535714285768e-003	4.901772e-003	3.204863e-001
1.304792857142913e-003	4.428318e-003	3.160432e-001
1.307050000000057e-003	4.026619e-003	3.116639e-001
1.307864285714343e-003	3.887193e-003	3.100982e-001
1.308678571428629e-003	3.753073e-003	3.085404e-001
1.309492857142915e-003	3.624262e-003	3.069903e-001
1.310307142857202e-003	3.500758e-003	3.054480e-001
1.311121428571488e-003	3.382561e-003	3.039134e-001
1.311935714285774e-003	3.269672e-003	3.023867e-001
1.312750000000060e-003	3.162091e-003	3.008676e-001
1.312850000000060e-003	3.149129e-003	3.006816e-001
1.315764285714347e-003	2.814445e-003	2.953145e-001
1.318678571428635e-003	2.514339e-003	2.900392e-001
1.321592857142922e-003	2.248810e-003	2.848557e-001
1.324507142857210e-003	2.017858e-003	2.797639e-001
1.327421428571497e-003	1.821484e-003	2.747638e-001
1.330335714285784e-003	1.659688e-003	2.698555e-001
1.333250000000072e-003	1.532469e-003	2.650390e-001
1.337521428571503e-003	1.374021e-003	2.581399e-001
1.341792857142934e-003	1.234879e-003	2.514095e-001
1.346064285714365e-003	1.115044e-003	2.448480e-001
1.350335714285796e-003	1.014515e-003	2.384552e-001
1.354607142857227e-003	9.332923e-004	2.322313e-001
1.358878571428657e-003	8.713762e-004	2.261761e-001
1.363150000000089e-003	8.287666e-004	2.202897e-001
