time	V(out)
2.223192857142511e-003	1.905491e-004
2.233021428571066e-003	1.785453e-004
2.242849999999622e-003	1.713143e-004
2.242949999999622e-003	1.712032e-004
2.257564285713884e-003	1.563634e-004
2.272178571428147e-003	1.426238e-004
2.286792857142409e-003	1.299846e-004
2.301407142856671e-003	1.184457e-004
2.316021428570934e-003	1.080071e-004
2.330635714285196e-003	9.866873e-005
2.345249999999458e-003	9.043072e-005
2.345349999999458e-003	9.037479e-005
2.359964285713720e-003	8.269110e-005
2.374578571427983e-003	7.555083e-005
2.389192857142245e-003	6.895398e-005
2.403807142856507e-003	6.290053e-005
2.418421428570770e-003	5.739050e-005
2.433035714285032e-003	5.242389e-005
2.447649999999294e-003	4.800069e-005
2.447749999999294e-003	4.797101e-005
2.462364285713556e-003	4.389277e-005
2.476978571427819e-003	4.010292e-005
2.491592857142081e-003	3.660144e-005
2.506207142856343e-003	3.338833e-005
2.520821428570606e-003	3.046360e-005
2.535435714284868e-003	2.782725e-005
2.550049999999130e-003	2.547928e-005
2.550149999999130e-003	2.546353e-005
2.564764285713392e-003	2.329876e-005
2.579378571427655e-003	2.128706e-005
2.593992857141917e-003	1.942844e-005
2.608607142856179e-003	1.772289e-005
2.623221428570442e-003	1.617041e-005
2.637835714284704e-003	1.477101e-005
2.652449999998966e-003	1.352468e-005
2.652549999998966e-003	1.351631e-005
2.667164285713228e-003	1.236723e-005
2.681778571427491e-003	1.129940e-005
2.696392857141753e-003	1.031282e-005
2.711007142856015e-003	9.407498e-006
2.725621428570278e-003	8.583426e-006
2.740235714284540e-003	7.840608e-006
2.754849999998802e-003	7.179043e-006
2.754949999998802e-003	7.174604e-006
2.769564285713064e-003	6.564659e-006
2.784178571427327e-003	5.997843e-006
2.798792857141589e-003	5.474157e-006
2.813407142855851e-003	4.993601e-006
2.828021428570113e-003	4.556175e-006
2.842635714284376e-003	4.161879e-006
2.857249999998638e-003	3.810713e-006
2.857349999998638e-003	3.808357e-006
2.871964285712900e-003	3.484591e-006
2.886578571427162e-003	3.183719e-006
2.901192857141425e-003	2.905741e-006
2.915807142855687e-003	2.650657e-006
2.930421428569949e-003	2.418467e-006
2.945035714284212e-003	2.209170e-006
2.959649999998474e-003	2.022768e-006
2.959749999998474e-003	2.021517e-006
3.001000000000000e-003	1.566297e-006
3.001010000000000e-003	1.568587e-006
3.001030000000000e-003	1.598320e-006
3.001062314522631e-003	1.788524e-006
3.001095176452476e-003	2.584934e-006
3.001160900312167e-003	7.347599e-006
3.001243526212523e-003	2.103079e-005
3.001321612085472e-003	4.613485e-005
3.001402265538821e-003	8.463073e-005
3.001427404095428e-003	1.020622e-004
3.001460922170905e-003	1.297673e-004
3.001500000000000e-003	1.655353e-004
3.001531591610028e-003	2.018999e-004
3.001563183220056e-003	2.428291e-004
3.001594774830084e-003	2.883231e-004
3.001626366440112e-003	3.383817e-004
3.001657958050140e-003	3.930049e-004
3.001689549660168e-003	4.521929e-004
3.001721141270196e-003	5.159455e-004
3.001821141270196e-003	7.419802e-004
3.001921141270196e-003	1.012594e-003
