time	V(in)	V(out)	abs(V(out)/V(in))
1.488413037469344e-002	-4.206640e-002	4.211854e-001	1.001239e+001
1.497377902178686e-002	-1.008178e-002	1.014965e-001	1.006732e+001
1.507406767066735e-002	2.842250e-002	-2.835930e-001	9.977765e+000
1.513253453888378e-002	4.814880e-002	-4.809968e-001	9.989799e+000
1.516945938349059e-002	5.756978e-002	-5.753382e-001	9.993754e+000
1.519516289532728e-002	6.223058e-002	-6.220517e-001	9.995917e+000
1.521396935313087e-002	6.454562e-002	-6.452842e-001	9.997336e+000
1.522985853421364e-002	6.574213e-002	-6.573210e-001	9.998475e+000
1.524513709872747e-002	6.621946e-002	-6.621642e-001	9.999541e+000
1.526319207431524e-002	6.592903e-002	-6.593426e-001	1.000079e+001
